Iso3,StartDate,EndDate,Area Code,Area Code (M49),Area,Item Code,Item,Element Code,Element,Months Code,Months,Year Code,Year,Unit,Value,Flag,Note
#country+code,#date+start,#date+end,,,#country+name,#indicator+code,#indicator+name,,,,,,#date+year,#indicator+type,#indicator+value+num,,
ZAF,2000-03-01,2000-03-31,202,'710,South Africa,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7003,March,2000,2000,Index,34.852940,X,base year is 2015
ZAF,2001-03-01,2001-03-31,202,'710,South Africa,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7003,March,2001,2001,Index,36.443590,X,base year is 2015
ZAF,2002-03-01,2002-03-31,202,'710,South Africa,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7003,March,2002,2002,Index,41.467870,X,base year is 2015
ZAF,2003-03-01,2003-03-31,202,'710,South Africa,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7003,March,2003,2003,Index,47.101980,X,base year is 2015
ZAF,2004-03-01,2004-03-31,202,'710,South Africa,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7003,March,2004,2004,Index,48.106670,X,base year is 2015
ZAF,2005-03-01,2005-03-31,202,'710,South Africa,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7003,March,2005,2005,Index,48.520360,X,base year is 2015
ZAF,2006-03-01,2006-03-31,202,'710,South Africa,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7003,March,2006,2006,Index,50.647930,X,base year is 2015
ZAF,2007-03-01,2007-03-31,202,'710,South Africa,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7003,March,2007,2007,Index,54.456540,X,base year is 2015
ZAF,2008-03-01,2008-03-31,202,'710,South Africa,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7003,March,2008,2008,Index,62.483500,X,base year is 2015
ZAF,2009-03-01,2009-03-31,202,'710,South Africa,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7003,March,2009,2009,Index,71.697660,X,base year is 2015
ZAF,2010-03-01,2010-03-31,202,'710,South Africa,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7003,March,2010,2010,Index,72.417520,X,base year is 2015
ZAF,2011-03-01,2011-03-31,202,'710,South Africa,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7003,March,2011,2011,Index,75.872830,X,base year is 2015
ZAF,2012-03-01,2012-03-31,202,'710,South Africa,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7003,March,2012,2012,Index,82.495500,X,base year is 2015
ZAF,2013-03-01,2013-03-31,202,'710,South Africa,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7003,March,2013,2013,Index,86.958610,X,base year is 2015
ZAF,2014-03-01,2014-03-31,202,'710,South Africa,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7003,March,2014,2014,Index,93.725260,X,base year is 2015
ZAF,2015-03-01,2015-03-31,202,'710,South Africa,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7003,March,2015,2015,Index,98.620280,X,base year is 2015
ZAF,2016-03-01,2016-03-31,202,'710,South Africa,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7003,March,2016,2016,Index,109.130200,X,base year is 2015
ZAF,2017-03-01,2017-03-31,202,'710,South Africa,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7003,March,2017,2017,Index,118.920200,X,base year is 2015
ZAF,2018-03-01,2018-03-31,202,'710,South Africa,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7003,March,2018,2018,Index,122.375500,X,base year is 2015
ZAF,2019-03-01,2019-03-31,202,'710,South Africa,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7003,March,2019,2019,Index,126.262700,X,base year is 2015
ZAF,2020-03-01,2020-03-31,202,'710,South Africa,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7003,March,2020,2020,Index,131.445700,X,base year is 2015
ZAF,2021-03-01,2021-03-31,202,'710,South Africa,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7003,March,2021,2021,Index,138.932200,X,base year is 2015
ZAF,2022-03-01,2022-03-31,202,'710,South Africa,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7003,March,2022,2022,Index,147.570500,X,base year is 2015
ZAF,2000-04-01,2000-04-30,202,'710,South Africa,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7004,April,2000,2000,Index,35.171070,X,base year is 2015
ZAF,2001-04-01,2001-04-30,202,'710,South Africa,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7004,April,2001,2001,Index,36.584980,X,base year is 2015
ZAF,2002-04-01,2002-04-30,202,'710,South Africa,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7004,April,2002,2002,Index,42.249290,X,base year is 2015
ZAF,2003-04-01,2003-04-30,202,'710,South Africa,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7004,April,2003,2003,Index,47.095420,X,base year is 2015
ZAF,2004-04-01,2004-04-30,202,'710,South Africa,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7004,April,2004,2004,Index,48.106670,X,base year is 2015
ZAF,2005-04-01,2005-04-30,202,'710,South Africa,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7004,April,2005,2005,Index,48.546630,X,base year is 2015
ZAF,2006-04-01,2006-04-30,202,'710,South Africa,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7004,April,2006,2006,Index,50.844920,X,base year is 2015
ZAF,2007-04-01,2007-04-30,202,'710,South Africa,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7004,April,2007,2007,Index,55.126330,X,base year is 2015
